rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
3;8000;25;4610;2.6094069480896;SQL_Server
3;8000;26;2780;0.734384059906006;SQL_Server
3;8000;27;2673;0.671882629394531;SQL_Server
3;8000;28;4607;2.60940766334534;SQL_Server
3;8000;29;4597;2.57815742492676;SQL_Server
3;8000;30;2560;0.562506914138794;SQL_Server
3;8000;31;2596;0.578131198883057;SQL_Server
3;8000;32;4640;2.59378290176392;SQL_Server
3;8000;33;4577;2.56253218650818;SQL_Server
3;8000;34;2547;0.562506914138794;SQL_Server
3;8000;35;2656;0.640632629394531;SQL_Server
3;8000;36;4284;2.26565289497375;SQL_Server
3;8000;37;4606;2.62503218650818;SQL_Server
3;8000;38;2674;0.64063286781311;SQL_Server
3;8000;39;2593;0.593756675720215;SQL_Server
3;8000;40;4280;2.25002789497375;SQL_Server
3;8000;41;4597;2.57815670967102;SQL_Server
3;8000;42;2686;0.640633106231689;SQL_Server
3;8000;43;2640;0.625007390975952;SQL_Server
3;8000;44;2657;0.640632390975952;SQL_Server
3;8000;45;2673;0.62500786781311;SQL_Server
3;8000;46;2607;0.609382390975952;SQL_Server
3;8000;47;2610;0.593756675720215;SQL_Server
3;8000;48;4500;2.43753051757813;SQL_Server
3;8000;49;4593;2.56253218650818;SQL_Server
4;16000;0;4440;2.37502932548523;SQL_Server
4;16000;1;4593;2.54690551757813;SQL_Server
4;16000;2;5047;2.96878743171692;SQL_Server
4;16000;3;5000;2.93753695487976;SQL_Server
4;16000;4;3140;1.09376358985901;SQL_Server
4;16000;5;3983;1.95314860343933;SQL_Server
4;16000;6;3453;1.42189145088196;SQL_Server
4;16000;7;4907;2.8437864780426;SQL_Server
4;16000;8;3187;1.12501406669617;SQL_Server
4;16000;9;3360;1.32814121246338;SQL_Server
4;16000;10;3360;1.32814049720764;SQL_Server
4;16000;11;4796;2.73440909385681;SQL_Server
4;16000;12;3204;1.12501406669617;SQL_Server
4;16000;13;3670;1.62502026557922;SQL_Server
4;16000;14;3440;1.37501668930054;SQL_Server
4;16000;15;5546;3.53129458427429;SQL_Server
4;16000;16;3157;1.09376335144043;SQL_Server
4;16000;17;3560;1.51564431190491;SQL_Server
4;16000;18;3457;1.3750171661377;SQL_Server
4;16000;19;5513;3.48441863059998;SQL_Server
4;16000;20;3203;1.12501406669617;SQL_Server
4;16000;21;3437;1.40626740455627;SQL_Server
4;16000;22;3393;1.3437659740448;SQL_Server
4;16000;23;5094;3.0469126701355;SQL_Server
4;16000;24;3156;1.09376358985901;SQL_Server
4;16000;25;3420;1.37501668930054;SQL_Server
4;16000;26;3407;1.35939121246338;SQL_Server
4;16000;27;5110;3.06253838539124;SQL_Server
4;16000;28;3233;1.12501430511475;SQL_Server
4;16000;29;3687;1.60939455032349;SQL_Server
4;16000;30;3393;1.32814121246338;SQL_Server
4;16000;31;5217;3.15628933906555;SQL_Server
4;16000;32;3157;1.09376358985901;SQL_Server
4;16000;33;3406;1.35939145088196;SQL_Server
4;16000;34;3734;1.68752098083496;SQL_Server
4;16000;35;5080;3.04691314697266;SQL_Server
4;16000;36;3313;1.25001573562622;SQL_Server
4;16000;37;3357;1.32814192771912;SQL_Server
4;16000;38;3360;1.32814145088196;SQL_Server
4;16000;39;5126;3.06253838539124;SQL_Server
4;16000;40;3360;1.31251692771912;SQL_Server
4;16000;41;3357;1.32814073562622;SQL_Server
4;16000;42;3423;1.3437647819519;SQL_Server
4;16000;43;5064;3.0000376701355;SQL_Server
4;16000;44;3263;1.23439025878906;SQL_Server
4;16000;45;3360;1.32814121246338;SQL_Server
